原文,当前译文,状态,来源
"Helpful playing tip: ||To rid yourself of an inventory item, you can pick it up from your inventory and drop it into the game window. However, you can also save items by placing them in chests. They will be safe until you return to retrieve them.","Helpful playing tip: ||To rid yourself of an inventory item, you can pick it up from your inventory and drop it into the game window. However, you can also save items by placing them in chests. They will be safe until you return to retrieve them.",pending,exe:blitz_string@0x1ABEE4
"Helpful playing tip: ||Bashing objects is very hard on your weapons. Anytime you bash an object you run the slight risk of destroying your weapon in the process, so don't use your expensive weapons to do the job!","Helpful playing tip: ||Bashing objects is very hard on your weapons. Anytime you bash an object you run the slight risk of destroying your weapon in the process, so don't use your expensive weapons to do the job!",pending,exe:blitz_string@0x1AC0DC
Helpful playing tip: ||A spell or potion granting you ^Cats ^Eyes allows you to see in the dark without producing any light. It's perfect for when you are trying to be stealthy.,Helpful playing tip: ||A spell or potion granting you ^Cats ^Eyes allows you to see in the dark without producing any light. It's perfect for when you are trying to be stealthy.,pending,exe:blitz_string@0x1AC290
"Helpful playing tip: ||To make ^Hide ^in ^Shadows more effective, stay next to a wall or in a corner surrounded by several walls; this will increase the effect of the Skill. Being surrounded by many trees, especially at night, will also increase the effect of the Skill dramatically.","Helpful playing tip: ||To make ^Hide ^in ^Shadows more effective, stay next to a wall or in a corner surrounded by several walls; this will increase the effect of the Skill. Being surrounded by many trees, especially at night, will also increase the effect of the Skill dramatically.",pending,exe:blitz_string@0x1AC400
"Helpful playing tip: ||Maximum Weapon Damage is calculated from the weapon itself and your skill with it, as well as certain physical Attributes as follows: Bows use ^Dexterity and ^Concentration; Thrown weapons use ^Strength and ^Dexterity; Melee Weapons use ^Strength and ^Speed.","Helpful playing tip: ||Maximum Weapon Damage is calculated from the weapon itself and your skill with it, as well as certain physical Attributes as follows: Bows use ^Dexterity and ^Concentration; Thrown weapons use ^Strength and ^Dexterity; Melee Weapons use ^Strength and ^Speed.",pending,exe:blitz_string@0x1AC644
"Helpful playing tip: ||*Mana *Points recover more quickly than *Hit *Points, but if you depend on spells for your survival it's smart to keep a few Mana Potions on hand for instant mana rejunvination.","Helpful playing tip: ||*Mana *Points recover more quickly than *Hit *Points, but if you depend on spells for your survival it's smart to keep a few Mana Potions on hand for instant mana rejunvination.",pending,exe:blitz_string@0x1AC884
Helpful playing tip: ||Press the &Tab key to display the tactical grid and highlight enemies that may be hidden behind walls.,Helpful playing tip: ||Press the &Tab key to display the tactical grid and highlight enemies that may be hidden behind walls.,pending,exe:blitz_string@0x1ACA20
"Helpful playing tip: ||A switch can be flipped at a distance by throwing something at it, or hitting it with a spell that can damage map objects. Remember, this is the same as bashing, so hold down the &Left &Shift ket to target it.","Helpful playing tip: ||A switch can be flipped at a distance by throwing something at it, or hitting it with a spell that can damage map objects. Remember, this is the same as bashing, so hold down the &Left &Shift ket to target it.",pending,exe:blitz_string@0x1ACB28
Exit,Exit,pending,exe:blitz_string@0x1ACD04
Next Tip,Next Tip,pending,exe:blitz_string@0x1ACD18
This seems to be a very rare or unique potions. It's effects are unknown.,This seems to be a very rare or unique potions. It's effects are unknown.,pending,exe:blitz_string@0x1ACD34
Grants the drinker cat-like eyesight to see in the darkest of conditions. Effect lasts 200 rounds.,Grants the drinker cat-like eyesight to see in the darkest of conditions. Effect lasts 200 rounds.,pending,exe:blitz_string@0x1ACDD4
"Causes the skin of the drinker to become thick and leathery, increasing Armor Rating +2 and reducing the effects of physical damage. Effect lasts 100 rounds.","Causes the skin of the drinker to become thick and leathery, increasing Armor Rating +2 and reducing the effects of physical damage. Effect lasts 100 rounds.",pending,exe:blitz_string@0x1ACEA4
"Causes the drinker to move at increased speed, allowing an extra action per round. The duration is 30 rounds.","Causes the drinker to move at increased speed, allowing an extra action per round. The duration is 30 rounds.",pending,exe:blitz_string@0x1ACFEC
Heals physical wounds when drank. Restores +15 Hit Points.,Heals physical wounds when drank. Restores +15 Hit Points.,pending,exe:blitz_string@0x1AD0D4
Restores +15 Mana points when drank.,Restores +15 Mana points when drank.,pending,exe:blitz_string@0x1AD154
"This serum cures common diseases such as Dungeon Fever, Rusty Knuckles, and Eye Fungus.","This serum cures common diseases such as Dungeon Fever, Rusty Knuckles, and Eye Fungus.",pending,exe:blitz_string@0x1AD1A8
"This serum cures serious diseases such as Blister Pox, Insanity Fever, and Fleshrot.","This serum cures serious diseases such as Blister Pox, Insanity Fever, and Fleshrot.",pending,exe:blitz_string@0x1AD264
"Grants the drinker increased protection from elements, magick, disease and toxins. This protection lasts 120 rounds.","Grants the drinker increased protection from elements, magick, disease and toxins. This protection lasts 120 rounds.",pending,exe:blitz_string@0x1AD318
Heals physical wounds when drank. Restores +40 Hit Points.,Heals physical wounds when drank. Restores +40 Hit Points.,pending,exe:blitz_string@0x1AD40C
This serum removes most poisons and toxins from the drinker's bloodstream.,This serum removes most poisons and toxins from the drinker's bloodstream.,pending,exe:blitz_string@0x1AD48C
This potion grants the drinker +15 points of Strength for 120 rounds.,This potion grants the drinker +15 points of Strength for 120 rounds.,pending,exe:blitz_string@0x1AD52C
Restores +40 Mana points when drank.,Restores +40 Mana points when drank.,pending,exe:blitz_string@0x1AD5C4
"This potion grants the drinker steadfast eyesight and concentration, which gives him +8 ToHit abililty. Effect lasts 100 rounds.","This potion grants the drinker steadfast eyesight and concentration, which gives him +8 ToHit abililty. Effect lasts 100 rounds.",pending,exe:blitz_string@0x1AD618
"When drank, this potion allows a caster to use only half the amount of Mana normally spent when casting a spell. The effect only lasts 10 rounds.","When drank, this potion allows a caster to use only half the amount of Mana normally spent when casting a spell. The effect only lasts 10 rounds.",pending,exe:blitz_string@0x1AD724
"Causes the skin of the user to become thick and leathery, increasing Armor Rating +4 and reducing the effects of physical damage. Effect lasts 100 rounds.","Causes the skin of the user to become thick and leathery, increasing Armor Rating +4 and reducing the effects of physical damage. Effect lasts 100 rounds.",pending,exe:blitz_string@0x1AD854
This potion grants the drinker +15 points of Dexterity. The effect lasts 120 rounds.,This potion grants the drinker +15 points of Dexterity. The effect lasts 120 rounds.,pending,exe:blitz_string@0x1AD994
"Causes the drinker to move at increased speed, allowing an extra action per round. The duration is 40 rounds.","Causes the drinker to move at increased speed, allowing an extra action per round. The duration is 40 rounds.",pending,exe:blitz_string@0x1ADA48
Causes the drinker to become completely invisibile. The duration is 10 rounds.,Causes the drinker to become completely invisibile. The duration is 10 rounds.,pending,exe:blitz_string@0x1ADB30
Heals physical wounds when drank. Restores +100 Hit Points.,Heals physical wounds when drank. Restores +100 Hit Points.,pending,exe:blitz_string@0x1ADBD8
"This potion causes the skin of the drinker to become hard like stone, increasing his Armor Rating +8 and reducing the effects of physical damage. The duration is 160 rounds.","This potion causes the skin of the drinker to become hard like stone, increasing his Armor Rating +8 and reducing the effects of physical damage. The duration is 160 rounds.",pending,exe:blitz_string@0x1ADC5C
"Causes the drinker to move at increased speed, allowing an extra action per round. The duration is 50 rounds.","Causes the drinker to move at increased speed, allowing an extra action per round. The duration is 50 rounds.",pending,exe:blitz_string@0x1ADDC4
Causes the drinker to become completely invisibile. The duration is 20 rounds.,Causes the drinker to become completely invisibile. The duration is 20 rounds.,pending,exe:blitz_string@0x1ADEAC
Causes the drinker to become completely invisibile. The duration is 30 rounds.,Causes the drinker to become completely invisibile. The duration is 30 rounds.,pending,exe:blitz_string@0x1ADF54
Restores +100 Mana points when drank.,Restores +100 Mana points when drank.,pending,exe:blitz_string@0x1ADFFC
"Causes the skin of the user to become thick and leathery, increasing Armor Rating +6 and reducing the effects of physical damage. Effect lasts 100 rounds.","Causes the skin of the user to become thick and leathery, increasing Armor Rating +6 and reducing the effects of physical damage. Effect lasts 100 rounds.",pending,exe:blitz_string@0x1AE054
Your inventory is too heavy...you cannot move!,Your inventory is too heavy...you cannot move!,pending,exe:blitz_string@0x1AE194
Strength,Strength,pending,exe:blitz_string@0x1AE200
Dexterity,Dexterity,pending,exe:blitz_string@0x1AE21C
Endurance,Endurance,pending,exe:blitz_string@0x1AE23C
Speed,Speed,pending,exe:blitz_string@0x1AE25C
Intelligence,Intelligence,pending,exe:blitz_string@0x1AE274
Wisdom,Wisdom,pending,exe:blitz_string@0x1AE298
Perception,Perception,pending,exe:blitz_string@0x1AE2B0
Concentration,Concentration,pending,exe:blitz_string@0x1AE2D0
n/a,n/a,pending,exe:blitz_string@0x1AE2F8
Amulet,Amulet,pending,exe:blitz_string@0x1AE31C
Ring,Ring,pending,exe:blitz_string@0x1AE334
Key,Key,pending,exe:blitz_string@0x1AE348
Miscellaneous,Miscellaneous,pending,exe:blitz_string@0x1AE35C
Potion,Potion,pending,exe:blitz_string@0x1AE384
Gem,Gem,pending,exe:blitz_string@0x1AE39C
Lockpick,Lockpick,pending,exe:blitz_string@0x1AE3B0
Reagent,Reagent,pending,exe:blitz_string@0x1AE3CC
Reactant,Reactant,pending,exe:blitz_string@0x1AE3E8
Consumable,Consumable,pending,exe:blitz_string@0x1AE404
Special,Special,pending,exe:blitz_string@0x1AE424
Gravedigger's Light,Gravedigger's Light,pending,exe:blitz_string@0x1AE440
Resist Elements +20%,Resist Elements +20%,pending,exe:blitz_string@0x1AE474
Resist Toxins +20%,Resist Toxins +20%,pending,exe:blitz_string@0x1AE4A8
Resist Magick +20%,Resist Magick +20%,pending,exe:blitz_string@0x1AE4D8
Resist Disease +20%,Resist Disease +20%,pending,exe:blitz_string@0x1AE508
Unknown,Unknown,pending,exe:blitz_string@0x1AE54C
Category:,Category:,pending,exe:blitz_string@0x1AE568 | exe:blitz_string@0x1AE588
Charges:,Charges:,pending,exe:blitz_string@0x1AE5A8
Turns Remaining:,Turns Remaining:,pending,exe:blitz_string@0x1AE5C8
[Attribute],[Attribute],pending,exe:blitz_string@0x1AE5F8
Base Damage:,Base Damage:,pending,exe:blitz_string@0x1AE61C
Base Armor Rating:,Base Armor Rating:,pending,exe:blitz_string@0x1AE644
Hit Points,Hit Points,pending,exe:blitz_string@0x1AE678
Mana Points,Mana Points,pending,exe:blitz_string@0x1AE69C
ToHit,ToHit,pending,exe:blitz_string@0x1AE6C0
Damage,Damage,pending,exe:blitz_string@0x1AE6D8
Armor Rating,Armor Rating,pending,exe:blitz_string@0x1AE6F4
Weight:,Weight:,pending,exe:blitz_string@0x1AE71C | exe:blitz_string@0x1AE738
Value:,Value:,pending,exe:blitz_string@0x1AE754 | exe:blitz_string@0x1AE770
Merchant's Price:,Merchant's Price:,pending,exe:blitz_string@0x1AE788 | exe:blitz_string@0x1AE7B8
Value: ?,Value: ?,pending,exe:blitz_string@0x1AE7E8
USE,USE,pending,exe:blitz_string@0x1AE804
READ,READ,pending,exe:blitz_string@0x1AE818
MIX,MIX,pending,exe:blitz_string@0x1AE82C
CONSUME,CONSUME,pending,exe:blitz_string@0x1AE840
DRINK,DRINK,pending,exe:blitz_string@0x1AE85C
Right-click to,Right-click to,pending,exe:blitz_string@0x1AE874 | exe:blitz_string@0x1AE8A0
Rarity:,Rarity:,pending,exe:blitz_string@0x1AE8C8
SFX_Key_Punch,SFX_Key_Punch,pending,exe:blitz_string@0x1AE950
Press any key for next page...,Press any key for next page...,pending,exe:blitz_string@0x1AEA04
Press any key to close your Quest Journal,Press any key to close your Quest Journal,pending,exe:blitz_string@0x1AEA4C
It is too dangerous to Quick Travel within Crakamir. You must make your way to the Southern Gate or use a Goblin teleporter.,It is too dangerous to Quick Travel within Crakamir. You must make your way to the Southern Gate or use a Goblin teleporter.,pending,exe:blitz_string@0x1AEADC
You cannot Quick Travel while carrying the Ceramic Crucible.,You cannot Quick Travel while carrying the Ceramic Crucible.,pending,exe:blitz_string@0x1AEBE0
You cannot Quick Travel while inside a dungeon. Find the exit and then you may Quick Travel.,You cannot Quick Travel while inside a dungeon. Find the exit and then you may Quick Travel.,pending,exe:blitz_string@0x1AEC64
You cannot Quick Travel when enemies are near!,You cannot Quick Travel when enemies are near!,pending,exe:blitz_string@0x1AED28
You cannot Quick Travel when you are overburdened!,You cannot Quick Travel when you are overburdened!,pending,exe:blitz_string@0x1AED90
You cannot Quick Travel while poisoned! Seek aid before traveling.,You cannot Quick Travel while poisoned! Seek aid before traveling.,pending,exe:blitz_string@0x1AEE00
Aridell,Aridell,pending,exe:blitz_string@0x1AEE90
Bordertown,Bordertown,pending,exe:blitz_string@0x1AEEAC
Grimmhold East,Grimmhold East,pending,exe:blitz_string@0x1AEECC
Grimmhold West,Grimmhold West,pending,exe:blitz_string@0x1AEEF4
Blackwater,Blackwater,pending,exe:blitz_string@0x1AEF1C
Vela,Vela,pending,exe:blitz_string@0x1AEF4C
Loneloft,Loneloft,pending,exe:blitz_string@0x1AEF60
Tangletree Ossuary,Tangletree Ossuary,pending,exe:blitz_string@0x1AEF8C
sfx_qt,sfx_qt,pending,exe:blitz_string@0x1AEFCC
Quick Traveling to,Quick Traveling to,pending,exe:blitz_string@0x1AEFF8
resources/incbin/narrative.txt,resources/incbin/narrative.txt,pending,exe:blitz_string@0x1AF02C
resources/incbin/books.txt,resources/incbin/books.txt,pending,exe:blitz_string@0x1AF074
incbin::incbin/narrative.txt,incbin::incbin/narrative.txt,pending,exe:blitz_string@0x1AF0B4
incbin::incbin/books.txt,incbin::incbin/books.txt,pending,exe:blitz_string@0x1AF0F8
SFX_Narration,SFX_Narration,pending,exe:blitz_string@0x1AF178
MORE,MORE,pending,exe:blitz_string@0x1AF1A8
of,of,pending,exe:blitz_string@0x1AF1BC
Script Error!,Script Error!,pending,exe:blitz_string@0x1AF230
activate_qt,activate_qt,pending,exe:blitz_string@0x1AF258
add_gold,add_gold,pending,exe:blitz_string@0x1AF27C
alert_npcs,alert_npcs,pending,exe:blitz_string@0x1AF298
all_quests,all_quests,pending,exe:blitz_string@0x1AF2B8
areacheck,areacheck,pending,exe:blitz_string@0x1AF2D8
book,book,pending,exe:blitz_string@0x1AF2F8
cleric_heal,cleric_heal,pending,exe:blitz_string@0x1AF330
close_door,close_door,pending,exe:blitz_string@0x1AF354
close_port,close_port,pending,exe:blitz_string@0x1AF374
commit_crime,commit_crime,pending,exe:blitz_string@0x1AF394
condition,condition,pending,exe:blitz_string@0x1AF3B8
cond_detected,cond_detected,pending,exe:blitz_string@0x1AF3D8
cond_gold,cond_gold,pending,exe:blitz_string@0x1AF400
cond_health,cond_health,pending,exe:blitz_string@0x1AF420
cond_item,cond_item,pending,exe:blitz_string@0x1AF444
cond_mana,cond_mana,pending,exe:blitz_string@0x1AF464
cond_not_quest,cond_not_quest,pending,exe:blitz_string@0x1AF484
cond_quest,cond_quest,pending,exe:blitz_string@0x1AF4AC
cond_special,cond_special,pending,exe:blitz_string@0x1AF4CC
cond_spot,cond_spot,pending,exe:blitz_string@0x1AF4F0
cond_state,cond_state,pending,exe:blitz_string@0x1AF510
convert,convert,pending,exe:blitz_string@0x1AF530
convert_tile,convert_tile,pending,exe:blitz_string@0x1AF54C
cure_disease,cure_disease,pending,exe:blitz_string@0x1AF570
cure_poison,cure_poison,pending,exe:blitz_string@0x1AF594
curse,curse,pending,exe:blitz_string@0x1AF5B8
delay,delay,pending,exe:blitz_string@0x1AF5D0
destroy_obj,destroy_obj,pending,exe:blitz_string@0x1AF5E8
destroy_script,destroy_script,pending,exe:blitz_string@0x1AF60C
det_keg,det_keg,pending,exe:blitz_string@0x1AF634
disease,disease,pending,exe:blitz_string@0x1AF650
display,display,pending,exe:blitz_string@0x1AF66C
drama,drama,pending,exe:blitz_string@0x1AF688
drop_item,drop_item,pending,exe:blitz_string@0x1AF6A0
drop_ent,drop_ent,pending,exe:blitz_string@0x1AF6C0
effect,effect,pending,exe:blitz_string@0x1AF6DC
full_restore,full_restore,pending,exe:blitz_string@0x1AF6F4
give_item,give_item,pending,exe:blitz_string@0x1AF718
gfx,gfx,pending,exe:blitz_string@0x1AF738
heal,heal,pending,exe:blitz_string@0x1AF74C
init_trade,init_trade,pending,exe:blitz_string@0x1AF760
kill_narrative,kill_narrative,pending,exe:blitz_string@0x1AF780
kill_quest,kill_quest,pending,exe:blitz_string@0x1AF7A8
learn,learn,pending,exe:blitz_string@0x1AF7C8
learn_book,learn_book,pending,exe:blitz_string@0x1AF7E0
map,map,pending,exe:blitz_string@0x1AF800
map_port,map_port,pending,exe:blitz_string@0x1AF814
message,message,pending,exe:blitz_string@0x1AF830
move_player,move_player,pending,exe:blitz_string@0x1AF84C
narrative,narrative,pending,exe:blitz_string@0x1AF870
no_crime,no_crime,pending,exe:blitz_string@0x1AF890
notebox,notebox,pending,exe:blitz_string@0x1AF8AC
npc_die,npc_die,pending,exe:blitz_string@0x1AF8C8
npc_disp_change,npc_disp_change,pending,exe:blitz_string@0x1AF8E4
port_to,port_to,pending,exe:blitz_string@0x1AF928
quest,quest,pending,exe:blitz_string@0x1AF944 | exe:blitz_string@0x1B0088
quest_step,quest_step,pending,exe:blitz_string@0x1AF95C
remove,remove,pending,exe:blitz_string@0x1AF97C
remove_barrier,remove_barrier,pending,exe:blitz_string@0x1AF994
remove_gold,remove_gold,pending,exe:blitz_string@0x1AF9BC
remove_item,remove_item,pending,exe:blitz_string@0x1AF9E0
remove_npc,remove_npc,pending,exe:blitz_string@0x1AFA04
rename_item,rename_item,pending,exe:blitz_string@0x1AFA24
rent_room,rent_room,pending,exe:blitz_string@0x1AFA48
restore,restore,pending,exe:blitz_string@0x1AFA68
screen_fade_in,screen_fade_in,pending,exe:blitz_string@0x1AFA84
screen_fade_out,screen_fade_out,pending,exe:blitz_string@0x1AFAAC
spell,spell,pending,exe:blitz_string@0x1AFAD8
sound,sound,pending,exe:blitz_string@0x1AFAF0
strip_items,strip_items,pending,exe:blitz_string@0x1AFB08
teach_skill,teach_skill,pending,exe:blitz_string@0x1AFB2C
time,time,pending,exe:blitz_string@0x1AFB50
to_flask,to_flask,pending,exe:blitz_string@0x1AFB64
toggle_port,toggle_port,pending,exe:blitz_string@0x1AFB80
toggle_switch,toggle_switch,pending,exe:blitz_string@0x1AFBA4
toggle_obj,toggle_obj,pending,exe:blitz_string@0x1AFBCC
trauma,trauma,pending,exe:blitz_string@0x1AFBEC
trap,trap,pending,exe:blitz_string@0x1AFC04
trigger_talk,trigger_talk,pending,exe:blitz_string@0x1AFC18
unlocked_with,unlocked_with,pending,exe:blitz_string@0x1AFC3C
updatezones,updatezones,pending,exe:blitz_string@0x1AFC64
Did Not Find Script Keyword:,Did Not Find Script Keyword:,pending,exe:blitz_string@0x1AFC88
Aridell has been added to The Quick Travel menu.,Aridell has been added to The Quick Travel menu.,pending,exe:blitz_string@0x1AFCD0
Bordertown has been added to the Quick Travel menu.,Bordertown has been added to the Quick Travel menu.,pending,exe:blitz_string@0x1AFD3C
Grimmhold East has been added to the Quick Travel menu.,Grimmhold East has been added to the Quick Travel menu.,pending,exe:blitz_string@0x1AFDB0
Grimmhold West has been added to the Quick Travel menu.,Grimmhold West has been added to the Quick Travel menu.,pending,exe:blitz_string@0x1AFE2C
Blackwater has been added to the Quick Travel menu.,Blackwater has been added to the Quick Travel menu.,pending,exe:blitz_string@0x1AFEA8
Vela has been added to the Quick Travel menu.,Vela has been added to the Quick Travel menu.,pending,exe:blitz_string@0x1AFF1C
Loneloft has been added to the Quick Travel menu.,Loneloft has been added to the Quick Travel menu.,pending,exe:blitz_string@0x1AFF84
Tangletree Ossuary has been added to the Quick Travel menu.,Tangletree Ossuary has been added to the Quick Travel menu.,pending,exe:blitz_string@0x1AFFF4
No way!,No way!,pending,exe:blitz_string@0x1B00A0
Removing Hexes and Curses will require a donation of 1000 gold pieces.,Removing Hexes and Curses will require a donation of 1000 gold pieces.,pending,exe:blitz_string@0x1B00BC
"I am sorry, but you lack the funds needed for this service.","I am sorry, but you lack the funds needed for this service.",pending,exe:blitz_string@0x1B0154
gold pieces.,gold pieces.,pending,exe:blitz_string@0x1B01D8
Restorative services for all of your ailments will require a donation of,Restorative services for all of your ailments will require a donation of,pending,exe:blitz_string@0x1B0200
"I am sorry, but you do not have enough gold. A donation is required from all patrons who seek aid as a sign of penance. Perhaps you could sell your equipment of war and donate the funds to the church.","I am sorry, but you do not have enough gold. A donation is required from all patrons who seek aid as a sign of penance. Perhaps you could sell your equipment of war and donate the funds to the church.",pending,exe:blitz_string@0x1B02A0
I am sorry. Non-believers are immune to faith-based healing. You will need to purchase elixirs and potions to heal yourself.,I am sorry. Non-believers are immune to faith-based healing. You will need to purchase elixirs and potions to heal yourself.,pending,exe:blitz_string@0x1B043C
Hmm...Nefarious persons such as yourself are immune to the altruistic act of healing from another person. You will need to seek aid elsewhere.,Hmm...Nefarious persons such as yourself are immune to the altruistic act of healing from another person. You will need to seek aid elsewhere.,pending,exe:blitz_string@0x1B0540
is no longer infecting your body.,is no longer infecting your body.,pending,exe:blitz_string@0x1B0668
You do not have enough gold!,You do not have enough gold!,pending,exe:blitz_string@0x1B06B8
Your Hit Points are currently at maximum.,Your Hit Points are currently at maximum.,pending,exe:blitz_string@0x1B06FC
Your Mana Points are currently at maximum.,Your Mana Points are currently at maximum.,pending,exe:blitz_string@0x1B075C
[Spot Hidden SUCCESS!],[Spot Hidden SUCCESS!],pending,exe:blitz_string@0x1B07BC
dropped loot.,dropped loot.,pending,exe:blitz_string@0x1B0800
Something has been dropped!,Something has been dropped!,pending,exe:blitz_string@0x1B0828
sfx_loot,sfx_loot,pending,exe:blitz_string@0x1B086C
CRITICAL ERROR ... NO FREE SPOT FOUND TO DROP ITEM ... PLEASE RELOAD LAST SAVE.,CRITICAL ERROR ... NO FREE SPOT FOUND TO DROP ITEM ... PLEASE RELOAD LAST SAVE.,pending,exe:blitz_string@0x1B0888
dropped item.,dropped item.,pending,exe:blitz_string@0x1B0934
has been added to your inventory.,has been added to your inventory.,pending,exe:blitz_string@0x1B095C
Your inventory is full.,Your inventory is full.,pending,exe:blitz_string@0x1B09AC
A quest in your Quest Journal has been removed because it can no longer be finished. You may still be able to complete the game.,A quest in your Quest Journal has been removed because it can no longer be finished. You may still be able to complete the game.,pending,exe:blitz_string@0x1B09E8
You are already familiar with this spell.,You are already familiar with this spell.,pending,exe:blitz_string@0x1B0AF4
for you to comprehend this spell.,for you to comprehend this spell.,pending,exe:blitz_string@0x1B0B54
This incantation is above your skill level. Your Divination Skill needs to be at least level,This incantation is above your skill level. Your Divination Skill needs to be at least level,pending,exe:blitz_string@0x1B0BA4
This incantation is above your skill level. Your Elemental Skill needs to be at least level,This incantation is above your skill level. Your Elemental Skill needs to be at least level,pending,exe:blitz_string@0x1B0C6C
to be able to understand this Divination scroll.,to be able to understand this Divination scroll.,pending,exe:blitz_string@0x1B0D30
This writing on this scroll is too complex for you to understand. You need a Wisdom of at least,This writing on this scroll is too complex for you to understand. You need a Wisdom of at least,pending,exe:blitz_string@0x1B0DA0
to be able to read this Elemental scroll.,to be able to read this Elemental scroll.,pending,exe:blitz_string@0x1B0E6C
This writing on this scroll is too complex for you to read. You need an Intelligence of at least,This writing on this scroll is too complex for you to read. You need an Intelligence of at least,pending,exe:blitz_string@0x1B0ECC
You have learned the spell ',You have learned the spell ',pending,exe:blitz_string@0x1B0F9C
You have gained the skill,You have gained the skill,pending,exe:blitz_string@0x1B0FE0
You have gained two levels in,You have gained two levels in,pending,exe:blitz_string@0x1B1020
SFX_Portal,SFX_Portal,pending,exe:blitz_string@0x1B1068
has been removed from your inventory.,has been removed from your inventory.,pending,exe:blitz_string@0x1B1088
No thanks,No thanks,pending,exe:blitz_string@0x1B10E0
I'll take it,I'll take it,pending,exe:blitz_string@0x1B1100
per night. Are you interested?,per night. Are you interested?,pending,exe:blitz_string@0x1B1124
I can rent you a room for,I can rent you a room for,pending,exe:blitz_string@0x1B1170
"Hey, you don't have enough money to rent a room!","Hey, you don't have enough money to rent a room!",pending,exe:blitz_string@0x1B11B0
You are poisoned and may not live through the night. You need to rid your bloostream of toxins before sleeping.,You are poisoned and may not live through the night. You need to rid your bloostream of toxins before sleeping.,pending,exe:blitz_string@0x1B121C
Thank you! Have a good sleep.,Thank you! Have a good sleep.,pending,exe:blitz_string@0x1B1308
: You are already more skilled than me. I cannot train you anymore.,: You are already more skilled than me. I cannot train you anymore.,pending,exe:blitz_string@0x1B1360
gold pieces. Are you ready to train?,gold pieces. Are you ready to train?,pending,exe:blitz_string@0x1B13F4
will cost you,will cost you,pending,exe:blitz_string@0x1B144C
: to train you in level,: to train you in level,pending,exe:blitz_string@0x1B1478
: You don't have enough enough gold to pay for this training.,: You don't have enough enough gold to pay for this training.,pending,exe:blitz_string@0x1B14B4
SFX_positive,SFX_positive,pending,exe:blitz_string@0x1B153C
You have gained a skill level in,You have gained a skill level in,pending,exe:blitz_string@0x1B1560
: Good job! You'll be a master in no time.,: Good job! You'll be a master in no time.,pending,exe:blitz_string@0x1B15B0
am,am,pending,exe:blitz_string@0x1B1610
pm,pm,pending,exe:blitz_string@0x1B1620
The current time is,The current time is,pending,exe:blitz_string@0x1B1640
Please wait for all turns to finish before attempting this action.,Please wait for all turns to finish before attempting this action.,pending,exe:blitz_string@0x1B1674
SFX_Lever,SFX_Lever,pending,exe:blitz_string@0x1B1704
released the lock!,released the lock!,pending,exe:blitz_string@0x1B1724
The,The,pending,exe:blitz_string@0x1B1758
removed from inventory.,removed from inventory.,pending,exe:blitz_string@0x1B176C
Sound/click2.wav,Sound/click2.wav,pending,exe:blitz_string@0x1B17D4
gold for each of them. How many,gold for each of them. How many,pending,exe:blitz_string@0x1B1808
I'll give you,I'll give you,pending,exe:blitz_string@0x1B1854
are you selling?,are you selling?,pending,exe:blitz_string@0x1B187C
gold each. How many,gold each. How many,pending,exe:blitz_string@0x1B18A8
I'll sell them to you for,I'll sell them to you for,pending,exe:blitz_string@0x1B18DC
s do you want?,s do you want?,pending,exe:blitz_string@0x1B191C
Move the slider to the proper locking pin.,Move the slider to the proper locking pin.,pending,exe:blitz_string@0x1B1944
Press OK when finished.,Press OK when finished.,pending,exe:blitz_string@0x1B19A4
s to pick up.,s to pick up.,pending,exe:blitz_string@0x1B19E0
Select how many,Select how many,pending,exe:blitz_string@0x1B1A08
Select how many Torches to want to drop.,Select how many Torches to want to drop.,pending,exe:blitz_string@0x1B1A34
"Remember, once dropped they are gone forever!","Remember, once dropped they are gone forever!",pending,exe:blitz_string@0x1B1A90
Cancel,Cancel,pending,exe:blitz_string@0x1B1AF8
gold,gold,pending,exe:blitz_string@0x1B1B30
Total Cost:,Total Cost:,pending,exe:blitz_string@0x1B1B48
goblin_cit_l2,goblin_cit_l2,pending,exe:blitz_string@0x1B1B6C
Wood Chips,Wood Chips,pending,exe:blitz_string@0x1B1C08
Damage to this object has caused a trap to be sprung!,Damage to this object has caused a trap to be sprung!,pending,exe:blitz_string@0x1B1C28
Object condition:,Object condition:,pending,exe:blitz_string@0x1B1CA0
abygale,abygale,pending,exe:blitz_string@0x1B1CD0
eeru,eeru,pending,exe:blitz_string@0x1B1CEC
erik,erik,pending,exe:blitz_string@0x1B1D00
farwick,farwick,pending,exe:blitz_string@0x1B1D14
gamfari,gamfari,pending,exe:blitz_string@0x1B1D30
gunther,gunther,pending,exe:blitz_string@0x1B1D4C
krista,krista,pending,exe:blitz_string@0x1B1D68
porter,porter,pending,exe:blitz_string@0x1B1D80
vekkar,vekkar,pending,exe:blitz_string@0x1B1D98
siam,siam,pending,exe:blitz_string@0x1B1DB0
Abygale,Abygale,pending,exe:blitz_string@0x1B1DC4 | exe:resource@0x54B18C:csv
Eeru,Eeru,pending,exe:blitz_string@0x1B1DE0 | exe:resource@0x54B18C:csv
Erik,Erik,pending,exe:blitz_string@0x1B1DF4 | exe:resource@0x54B18C:csv
Farwick,Farwick,pending,exe:blitz_string@0x1B1E08 | exe:resource@0x54B18C:csv
Gamfari,Gamfari,pending,exe:blitz_string@0x1B1E4C | exe:resource@0x54B18C:csv
Gunther,Gunther,pending,exe:blitz_string@0x1B1E68 | exe:resource@0x54B18C:csv
